"","Shooting","Defense","Playmaking","ShotCreating"
"Jimmer Fredette",-2.701324822,-6.897378568,0.541666667,0.137931034
"Dragan Bender",-0.246039213,-1.847934981,0.489397779,0.025380711
"Enes Kanter",-2.134369983,-0.707603204,0.455060783,0.068047338
"Damian Lillard",0.143988915,-0.762903153,0.859987724,0.401278912
"Evan Turner",-2.309399448,0.29458445,0.796223824,0.343514506
"CJ McCollum",0.14021781,-0.148200886,0.731058477,0.342167426
"Maurice Harkless",-0.141891625,1.304296564,0.38591633,0.074935401
"Rodney Hood",0.044606402,-0.532681375,0.58257244,0.283308815
"Al-Farouq Aminu",0.007490984,0.636137897,0.48931247,0.10821698
"Gary Trent Jr.",-2.235450994,-3.198877037,0.1,0.1
"Jake Layman",-0.022021249,-0.447895407,0.526391363,0.049528302
"Meyers Leonard",0.210392271,-4.257369806,0.490380756,0.008298755
"Skal Labissiere",-1.786622877,-4.002884443,0.333333333,0.020408164
"Anfernee Simons",-2.028317893,-5.904937781,0.177156177,0.206349206
"Jusuf Nurkic",-2.519096885,5.178597165,0.587972213,0.050847458
"Seth Curry",0.243011835,0.558132132,0.504145702,0.179324759
"Zach Collins",-0.041070309,-0.574027183,0.494185162,0.022727273
"Willie Cauley-Stein",-1.229440147,1.506762826,0.493662084,0.069624331
"Yogi Ferrell",0.053547856,-0.055286934,0.587703121,0.303909425
"De'Aaron Fox",0.063297346,-0.111283064,0.900392901,0.413515578
